mean_test_score,rank_test_score,param_regressor__learning_rate,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample
-0.9975741262539268,203,0.001,5,0.1,100,0.8
-0.9977152628432815,204,0.001,1,0.3,300,1
-0.9977579322786289,205,0.001,1,0.1,100,0.6
-0.99794399425076,206,0.001,5,0.1,100,0.6
-0.9979551236533997,207,0.001,10,0.1,100,1
-0.9981527148846082,208,0.001,10,0.1,300,1
-0.9981550205164268,209,0.001,2,0.3,100,1
-0.9981595769347595,210,0.001,2,0.1,100,0.6
-0.9983548208926581,211,0.01,10,0.3,150,0.8
-0.9987451256979529,212,0.001,1,0.3,100,1
-0.9987844118354634,213,0.001,5,0.3,100,0.8
-0.9988500433388495,214,0.001,1,0.3,100,0.6
-0.9988567601182083,215,0.001,10,0.1,150,0.8
-0.9988645773079312,216,0.001,1,0.1,100,0.4
-0.9989551103353836,217,0.001,10,0.3,150,0.6
-0.9989748445048219,218,0.001,10,0.1,150,0.4
-0.9989748445048219,218,0.001,10,0.3,150,0.4
-0.9989880479406568,220,0.001,10,0.1,150,0.6
-0.9990142785435763,221,0.001,2,0.3,100,0.6
-0.9990695208938931,222,0.001,10,0.3,150,0.8
-0.9992216335056254,223,0.001,2,0.1,100,0.4
-0.9992303376062266,224,0.001,1,0.1,100,0.2
-0.999257327341191,225,0.001,2,0.3,100,0.8
-0.9992579012434983,226,0.001,5,0.6,150,0.8
-0.9993191619791715,227,0.001,5,0.1,100,0.4
-0.9993322004209574,228,0.001,5,0.3,100,0.6
-0.9994475980814688,229,0.001,1,0.3,100,0.8
-0.9994851781581646,230,0.001,2,0.1,100,0.2
-0.9996633542217668,231,0.001,1,0.6,150,0.8
-0.9996633542217668,231,0.001,2,0.6,150,0.8
-0.99994132158691,233,0.001,1,0.3,100,0.4
-0.9999483632944834,234,0.001,5,0.1,100,0.2
-1.0001774075241037,235,0.001,2,0.3,100,0.4
-1.000502302016406,236,0.001,5,0.3,100,0.4
-1.000756430503088,237,0.001,10,0.6,150,0.8
-1.0008057096677447,238,0.001,10,0.6,300,1
-1.0009186822590874,239,0.001,10,0.3,100,0.4
-1.0009186822590874,239,0.001,10,0.1,100,0.4
-1.0010784195397193,241,0.01,1,0.1,300,0.8
-1.0010904041419812,242,0.001,5,0.6,100,0.8
-1.001095410688958,243,0.001,5,0.3,150,1
-1.0011374695829791,244,0.01,5,0.6,300,0.8
